Date,County,Count,Deaths
5/13/2020,Hampshire,731,
5/13/2020,Middlesex,18680,
5/13/2020,Nantucket,12,
5/13/2020,Norfolk,7457,
5/13/2020,Plymouth,6811,
5/13/2020,Suffolk,15964,
5/13/2020,Worcester,8391,
5/13/2020,Unknown,299,
5/13/2020,Dukes and Nantucket,,
5/14/2020,Barnstable,1186,
5/14/2020,Berkshire,502,
5/14/2020,Bristol,5556,
5/14/2020,Dukes,31,
5/14/2020,Essex,12222,
5/14/2020,Franklin,312,
5/14/2020,Hampden,5068,
5/14/2020,Hampshire,747,
5/14/2020,Middlesex,18890,
5/14/2020,Nantucket,12,
5/14/2020,Norfolk,7601,
5/14/2020,Plymouth,7002,
5/14/2020,Suffolk,16285,
5/14/2020,Worcester,8711,
5/14/2020,Unknown,335,
5/14/2020,Dukes and Nantucket,,
5/15/2020,Barnstable,1208,
5/15/2020,Berkshire,505,
5/15/2020,Bristol,5710,
5/15/2020,Dukes,31,
5/15/2020,Essex,12419,
5/15/2020,Franklin,314,
5/15/2020,Hampden,5133,
5/15/2020,Hampshire,762,
5/15/2020,Middlesex,19223,
5/15/2020,Nantucket,12,
5/15/2020,Norfolk,7685,
5/15/2020,Plymouth,7105,
5/15/2020,Suffolk,16415,
5/15/2020,Worcester,8944,
5/15/2020,Unknown,320,
5/15/2020,Dukes and Nantucket,,
5/16/2020,Barnstable,1219,
5/16/2020,Berkshire,511,
5/16/2020,Bristol,5868,
5/16/2020,Dukes,32,
5/16/2020,Essex,12609,
5/16/2020,Franklin,314,
5/16/2020,Hampden,5231,
5/16/2020,Hampshire,776,
5/16/2020,Middlesex,19445,
5/16/2020,Nantucket,12,
5/16/2020,Norfolk,7780,
5/16/2020,Plymouth,7223,
5/16/2020,Suffolk,16777,
5/16/2020,Worcester,9233,
5/16/2020,Unknown,344,
5/16/2020,Dukes and Nantucket,,
5/17/2020,Barnstable,1224,
5/17/2020,Berkshire,513,
5/17/2020,Bristol,5994,
5/17/2020,Dukes,33,
5/17/2020,Essex,12767,
5/17/2020,Franklin,318,
5/17/2020,Hampden,5303,
5/17/2020,Hampshire,792,
5/17/2020,Middlesex,19696,
5/17/2020,Nantucket,12,
5/17/2020,Norfolk,7852,
5/17/2020,Plymouth,7308,
5/17/2020,Suffolk,16917,
5/17/2020,Worcester,9421,
5/17/2020,Unknown,350,
5/17/2020,Dukes and Nantucket,,
5/18/2020,Barnstable,1229,
5/18/2020,Berkshire,514,
5/18/2020,Bristol,6122,
5/18/2020,Dukes,33,
5/18/2020,Essex,12898,
5/18/2020,Franklin,318,
5/18/2020,Hampden,5363,
5/18/2020,Hampshire,799,
5/18/2020,Middlesex,19918,
5/18/2020,Nantucket,12,
5/18/2020,Norfolk,7906,
5/18/2020,Plymouth,7384,
5/18/2020,Suffolk,17110,
5/18/2020,Worcester,9613,
5/18/2020,Unknown,347,
5/18/2020,Dukes and Nantucket,,
5/19/2020,Barnstable,1253,
5/19/2020,Berkshire,515,
5/19/2020,Bristol,6207,
5/19/2020,Dukes,33,
5/19/2020,Essex,13067,
5/19/2020,Franklin,318,
5/19/2020,Hampden,5437,
